date,ad_total
2026-07-01,208.58
2026-07-02,364.18
2026-07-03,192.07
2026-07-04,360.02
2026-07-05,518.2
2026-07-06,291.98
2026-07-07,404.4
2026-07-08,247.49
2026-07-09,488.55
2026-07-10,492.82
2026-07-11,116.42
2026-07-12,356.9
2026-07-13,244.69
2026-07-14,305.84
2026-07-15,542.13
2026-07-16,463.04
2026-07-17,383.42
2026-07-18,285.5
2026-07-19,501.66
2026-07-20,374.35
2026-07-21,840.87
2026-07-22,370.48
2026-07-23,351.28
2026-07-24,419.6
2026-07-25,340.47
2026-07-26,322.65
2026-07-27,246.03
2026-07-28,235.52
2026-07-29,342.26
2026-07-30,618.5
2026-07-31,359.42
2026-08-01,573.83
2026-08-02,326.27
2026-08-03,430.16
2026-08-04,655.32
2026-08-05,283.07
2026-08-06,432.45
2026-08-07,210.64
2026-08-08,697.5
2026-08-09,261.82
2026-08-10,764.58
2026-08-11,453.21
2026-08-12,215.01
2026-08-13,0.0
2026-08-14,0.0
2026-08-15,0.0
2026-08-16,0.0
2026-08-17,0.0
2026-08-18,0.0
2026-08-19,0.0
2026-08-20,0.0
2026-08-21,0.0
2026-08-22,0.0
2026-08-23,118.86
2026-08-24,298.9
2026-08-25,155.35
2026-08-26,265.26
2026-08-27,139.13
2026-08-28,0.0
2026-08-29,180.95
2026-08-30,102.16
2026-08-31,76.87
2026-09-01,103.09
2026-09-02,296.56
2026-09-03,128.59
2026-09-04,182.44
2026-09-05,62.8
2026-09-06,236.22
2026-09-07,194.15
2026-09-08,93.38
2026-09-09,124.67
2026-09-10,173.75
2026-09-11,74.89
2026-09-12,0.0
2026-09-13,153.0
2026-09-14,127.35
2026-09-15,185.74
2026-09-16,340.83
2026-09-17,195.92
2026-09-18,89.03
2026-09-19,67.3
